reco_widget,age_group,adp_widget_impressions,checkout_count,checkout_pct
RecoAlternative,,3866754,0,0.0
RecoComplementary,,3846610,0,0.0
RecoSeries,,1479560,0,0.0
Spx-Cinema,,3764856,0,0.0
RecoAlternative,25_to_39,2008815,2741,0.136
RecoComplementary,25_to_39,2002308,441,0.022
RecoSeries,25_to_39,909603,518,0.057
Spx-Cinema,25_to_39,1996808,980,0.049
RecoAlternative,40_to_54,2027762,2856,0.141
RecoComplementary,40_to_54,2015912,499,0.025
RecoSeries,40_to_54,881778,629,0.071
Spx-Cinema,40_to_54,2037642,1081,0.053
RecoAlternative,55_plus,1706132,3018,0.177
RecoComplementary,55_plus,1689565,542,0.032
RecoSeries,55_plus,703891,625,0.089
Spx-Cinema,55_plus,1733203,1099,0.063
RecoAlternative,under_25,344206,480,0.139
RecoComplementary,under_25,344232,52,0.015
RecoSeries,under_25,161813,74,0.046
Spx-Cinema,under_25,336463,164,0.049
