reco_widget,gender,adp_widget_impressions,checkout_count,checkout_pct
RecoAlternative,,3866754,0,0.0
RecoComplementary,,3846610,0,0.0
RecoSeries,,1479560,0,0.0
Spx-Cinema,,3764856,0,0.0
RecoAlternative,COMPANY,591,0,0.0
RecoComplementary,COMPANY,589,1,0.17
RecoSeries,COMPANY,266,0,0.0
Spx-Cinema,COMPANY,584,0,0.0
RecoAlternative,FEMALE,4385854,6451,0.147
RecoComplementary,FEMALE,4358967,1110,0.025
RecoSeries,FEMALE,1935752,1331,0.069
Spx-Cinema,FEMALE,4411542,2337,0.053
RecoAlternative,MALE,1692359,2631,0.155
RecoComplementary,MALE,1684408,421,0.025
RecoSeries,MALE,717696,513,0.071
Spx-Cinema,MALE,1683890,978,0.058
RecoAlternative,UNKNOWN,8111,13,0.16
RecoComplementary,UNKNOWN,8053,2,0.025
RecoSeries,UNKNOWN,3371,2,0.059
Spx-Cinema,UNKNOWN,8100,9,0.111
